67,64,60,57,52,118,91,142,,,,
79,75,72,69,65,61,115,110,,,,
78,76,74,70,60,63,136,135,,,,
137,111,153,161,154,50,50,55,,,,
48,46,43,41,38,36,107,122,,,,
43,38,34,30,136,113,137,153,,,,
78,75,71,67,63,59,,105,,,,
80,77,72,69,65,62,110,106,,,,
37,41,73,42,61,43,42,123,,,,
59,87,122,63,,,,,,,,
98,98,84,84,76,76,65,65,53,53,47,47
78,74,68,114,110,98,189,164,,,,
72,68,91,75,101,98,192,172,,,,
66,65,133,132,166,156,66,56,,,,
55,50,45,40,,99,,192,,,,
47,43,38,35,32,29,27,117,110,,,
39,33,120,96,136,146,133,145,,,,
96,94,84,89,,,166,160,,,,
109,126,74,66,121,108,108,114,146,65,60,53
85,90,,115,120,,,,,,,
62,61,54,53,51,46,99,109,178,,,
79,108,90,134,178,147,85,82,79,75,,
54,56,140,,183,186,158,,60,56,,
,,,,110,117,136,76,75,,,
82,78,74,72,67,63,60,131,103,153,,
68,62,55,48,43,37,120,116,154,,,
95,91,86,82,78,74,69,126,192,631,,
66,61,58,55,51,48,91,98,141,,,
72,68,62,58,52,50,149,118,186,208,,
57,52,49,46,,75,,,159,,,
56,48,44,,134,98,,163,,,,
61,57,54,49,46,43,132,104,141,153,,
72,69,66,110,119,166,169,152,60,55,,
,51,47,126,105,175,185,168,66,61,,
65,61,59,55,51,107,108,133,148,132,,
54,51,46,41,102,149,166,180,162,85,,
46,42,39,31,,141,156,,139,,,
54,50,45,41,90,97,166,177,155,81,,
78,75,70,66,63,105,117,142,148,,,
78,73,113,125,85,74,64,100,131,,,
78,76,74,70,60,63,136,135,155,,,
41,36,32,28,25,22,113,85,146,,,
60,113,96,136,152,133,52,48,42,42,,
81,78,75,72,68,63,59,55,52,49,,
86,114,,145,167,144,,71,66,62,,
73,68,64,60,118,97,151,177,153,,,
82,,107,,155,,51,47,41,37,31,27
,50,,40,,40,,125,,200,,
71,66,62,120,94,135,40,36,,,,
68,65,62,59,55,51,132,99,168,192,,
43,37,34,29,26,21,16,94,111,144,187,172
131,121,180,188,173,61,56,52,48,43,,
38,35,84,114,141,143,131,51,47,44,,
69,65,100,116,161,191,169,90,86,82,,
128,,141,,,,72,,48,,,
,,,,,,,,,,10,
56,53,48,45,40,126,135,,179,175,,
45,42,38,131,121,138,,137,68,63,,
104,80,73,68,101,122,116,138,72,65,111,
70,66,61,57,52,49,45,41,47,65,54,41
93,89,83,83,79,73,68,63,61,59,55,49
54,51,47,43,39,35,31,111,128,136,151,147
85,80,76,71,67,124,135,156,165,156,52,49
,86,,77,,164,,174,,88,,91
73,68,64,59,123,148,148,149,148,81,78,74
50,143,129,149,151,150,78,73,70,67,62,58
74,70,67,114,101,170,207,149,,45,,
92,88,83,116,143,149,155,150,59,55,51,47
73,93,131,147,154,150,,,,,,
,96,,196,153,66,,57,,50,54,
,90,82,86,,72,,63,,,,
10,9,8
